site_abbrev,site,date,iteration,time,observer,temp,hum,wind,plant_codon,plants_per_m2,patch_size,field notes,Multiplier,specimen_ID,Voucher Present,Project,insect_order,Misc Group,insect_family,insect_subfamily,insect_tribe,insect_genus,insect_subgenus,insect_species,insect_spp,Sex,lab notes,det_by,box,transect,Country,State,County,Latitude,Longitude,Elevation,tblPlants.Order,tblPlants.Family,tblPlants.Genus,tblPlants.Species,NonPlantDescription
JF,Jefferson Farm,17-May-19,early,15:56,E. Janasov,67,53,2,lomdis,80,114,,1,RA_20190422_02,TRUE,Network,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,,MS1,Andrena MS1,M,,,1068,,USA,OR,Marion,44.7884,-123.0188,131,Apiales,Apiaceae,Lomatium,dissectum,
JF,Jefferson Farm,17-May-19,early,17:56,R. Ackerman,67,53,2,lomdis,80,114,,1,RA_20190422_04,TRUE,Network,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,,MS1,Andrena MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Apiales,Apiaceae,Lomatium,dissectum,
JF,Jefferson Farm,17-May-19,early,13:38,E. Brown,65,56,3,ranocc,330,1100,,1,EB_20190422_03,TRUE,Network,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,,MS2,Andrena MS2,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Ranunculales,Ranunculaceae,Ranunculus,occidentalis,
JF,Jefferson Farm,17-May-19,early,15:15,W. Ray,67,53,2,plecon,89,159,,1,BR_20190422_04,FALSE,Network,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,,MS2,Andrena MS2,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,MISSED,FALSE,Network,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,,vosnesenskii,Bombus vosnesenskii,Q,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_01,TRUE,Network,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,MS1,Nomada MS1,,In reference collection,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_06,TRUE,Network,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,MS2,Nomada MS2,,In reference collection,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,15:35,E. Brown,70,46,3,camqua,33,54,,1,EB_20190422_04,TRUE,Network,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,,Nomada,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_02,TRUE,Network,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,,major,Bombylius major,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_03,TRUE,Network,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,,major,Bombylius major,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,15:35,E. Brown,70,46,3,camqua,33,54,,1,EB_20190422_05,TRUE,Network,Coleoptera,,Cerambycidae,Lepturinae,,,,MS1,Lepturinae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,15:35,E. Brown,70,46,3,camqua,33,54,,1,EB_20190422_06,TRUE,Network,Coleoptera,,Cerambycidae,Lepturinae,,,,MS1,Lepturinae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_08,TRUE,Network,Diptera,,Conopidae,Dalmanniinae,,Dalmannia,,MS1,Dalmannia MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,15:15,W. Ray,67,53,2,plecon,89,159,,1,BR_20190422_05,TRUE,Network,Diptera,,Conopidae,Myopinae,,Myopa,,MS1,Myopa MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,14:55,S. Walters,67,56,2,caslev,35,58,,1,TW_20190422_09,TRUE,Network,Coleoptera,,Staphylinidae,,,,,MS1,Staphylinidae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Scrophulariales,Scrophulariaceae,Castilleja,levisecta,
JF,Jefferson Farm,17-May-19,early,13:34,W. Ray,65,56,3,camqua,21,30,,1,BR_20190422_02,TRUE,Network,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,,MS2,Halictus MS2,,In reference collection,,,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_07,TRUE,Network,Hymenoptera,Anthophila,Halictidae,Halictinae,Halictini,Halictus,,rubicundus,Halictus rubicundus,,,Q. Baine 2019,1006,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:34,W. Ray,65,56,3,camqua,21,30,,1,BR_20190422_03,TRUE,Network,Diptera,,Anthomyiidae,,,,,MS1,Anthomyiidae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,15:45,W. Ray,70,46,3,caslev,40,62,,1,BR_20190422_06,TRUE,Network,Diptera,,Anthomyiidae,,,,,MS1,Anthomyiidae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Scrophulariales,Scrophulariaceae,Castilleja,levisecta,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_05,TRUE,Network,Diptera,,Empididae,,,,,MS2,Empididae MS2,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:34,W. Ray,65,56,3,camqua,21,30,,1,BR_20190422_01,TRUE,Network,Diptera,,Empididae,,,,,MS2,Empididae MS2,,Pollen spent,,1032,,USA,OR,Marion,44.7884,-123.0188,131,Liliales,Liliaceae,Camassia,quamash,
JF,Jefferson Farm,17-May-19,early,13:33,S. Walters,65,56,3,plecon,350,1000,,1,TW_20190422_04,TRUE,Network,Diptera,,Sarcophagidae,,,,,MS2,Sarcophagidae MS2,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Plectritis,congesta,
JF,Jefferson Farm,17-May-19,early,13:38,E. Brown,65,56,3,ranocc,330,1100,,1,EB_20190422_02,TRUE,Network,Diptera,,Scathophagidae,,,,,MS1,Scathophagidae MS1,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Ranunculales,Ranunculaceae,Ranunculus,occidentalis,
JF,Jefferson Farm,17-May-19,early,13:38,E. Brown,65,56,3,ranocc,330,1100,,1,MISSED,FALSE,Network,,,,,,,,,,,"Poss halictid, missed",,,,USA,OR,Marion,44.7884,-123.0188,131,Ranunculales,Ranunculaceae,Ranunculus,occidentalis,
JF,Jefferson Farm,17-May-19,early,14:50,W. Ray,70,45,2,valloc,2600,5200,,1,no visitation,FALSE,Network,,,,,,,,,,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Dipsacales,Valerianaceae,Valerianella,locusta,
JF,Jefferson Farm,17-May-19,early,14:55,S.M. Waters,68,52,1,myodis,25,44,,1,no visitation,FALSE,Network,,,,,,,,,,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Lamiales,Boraginaceae,Myosotis,dicsolor,
JF,Jefferson Farm,17-May-19,early,16:15,W. Ray,70,46,3,ranocc,135,250,,1,MISSED,FALSE,Network,,,,,,,,,,,,,,,USA,OR,Marion,44.7884,-123.0188,131,Ranunculales,Ranunculaceae,Ranunculus,occidentalis,
FB,Fisher Butte,23-Apr-19,early,12:51,S. Walters,74,43,1,ranali,113,300,,1,TW_20190423_5,TRUE,Network,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,,nothocalaidis,Andrena nothocalaidis,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Ranunculales,Ranunculaceae,Ranunculus,alismafolius,
FB,Fisher Butte,23-Apr-19,early,13:26,S. Walters,,,,camqua,69,200,,1,MISSED,FALSE,Network,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,,mellifera,Apis mellifera,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Liliales,Liliaceae,Camassia,quamash,
FB,Fisher Butte,23-Apr-19,early,13:26,S. Walters,,,,camqua,69,200,,1,MISSED,FALSE,Network,Hymenoptera,Anthophila,Apidae,Apinae,Apini,Apis,,mellifera,Apis mellifera,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Liliales,Liliaceae,Camassia,quamash,
FB,Fisher Butte,23-Apr-19,early,13:26,S. Walters,,,,camqua,69,200,,1,MISSED,FALSE,Network,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,,mixtus,Bombus mixtus,F,,,,,USA,OR,Lane,44.055547,-123.252071,114,Liliales,Liliaceae,Camassia,quamash,
FB,Fisher Butte,23-Apr-19,early,13:26,S. Walters,,,,camqua,69,200,,1,MISSED,FALSE,Network,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,,mixtus,Bombus mixtus,F,,,,,USA,OR,Lane,44.055547,-123.252071,114,Liliales,Liliaceae,Camassia,quamash,
FB,Fisher Butte,23-Apr-19,early,13:45,D. Cappaert,73,43,2,carpen,36,96,,1,DC_20190423_07,TRUE,Network,Hymenoptera,Anthophila,Apidae,Xylocopinae,Ceratinini,Ceratina,,acantha,Ceratina acantha,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Capparales,Brassicaceae,Cardamine,penduliflora,
FB,Fisher Butte,23-Apr-19,early,13:26,S. Walters,73,43,2,camqua,69,200,,1,TW_20190423_15,TRUE,Network,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,,major,Bombylius major,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Liliales,Liliaceae,Camassia,quamash,
FB,Fisher Butte,23-Apr-19,early,15:00,D. Cappaert,68,43,3,ranali,71,174,,1,DC_20190423_12,TRUE,Network,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,,major,Bombylius major,,,,,,USA,OR,Lane,44.055547,-123.252071,114,Ranunculales,Ranunculaceae,Ranunculus,alismafolius,
