occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
NA,Lomatium dissectum,Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance,3034268,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium dissectum,Lomatium dissectum,(Nutt. ex Torr. & A.Gray) Mathias & Constance,3034268,NA
NA,Lomatium dissectum,Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance,3034268,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium dissectum,Lomatium dissectum,(Nutt. ex Torr. & A.Gray) Mathias & Constance,3034268,NA
NA,Ranunculus occidentalis,Ranunculus occidentalis Nutt.,3033353,EXACT,99,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,Ranunculus occidentalis,Nutt.,3033353,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
NA,Camassia quamash,Camassia quamash (Pursh) Greene,2769084,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Camassia quamash,(Pursh) Greene,2769084,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
NA,Plectritis congesta,Plectritis congesta (Lindl.) DC.,2888738,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Plectritis congesta,(Lindl.) DC.,2888738,NA
