occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Parentucellia viscosa","Parentucellia viscosa (L.) Caruel","3171818","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Bellardia","Bellardia viscosa","Parentucellia viscosa","(L.) Caruel","3171818","7733140"
,"Prunella vulgaris","Prunella vulgaris L.","5341297","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Prunella","Prunella vulgaris","Prunella vulgaris","L.","5341297",
,"Centaurium erythraea","Centaurium erythraea Rafn","5414457","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Centaurium","Centaurium erythraea","Centaurium erythraea","Rafn","5414457",
,"Plagiobothrys figuratus","Plagiobothrys figuratus (Piper) I.M.Johnst.","8164333","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Plagiobothrys","Plagiobothrys figuratus","Plagiobothrys figuratus","(Piper) I.M.Johnst.","8164333",
,"Orthocarpus Nutt. bracteosus Benth.","Orthocarpus Nutt.","3171622","HIGHERRANK","100","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orthocarpus",,"Orthocarpus","Nutt.","3171622",
,"Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes","3130472",
,"Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes","3130472",
,"Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes","3130472",
,"Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes","3130472",
,"Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes","3130472",
,"Horkelia congesta","Horkelia congesta Douglas ex Hook.","3025210","EXACT","99","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla congesta","Horkelia congesta","Douglas ex Hook.","3025210","5368914"
,"Erigeron decumbens","Erigeron decumbens Nutt.","7845106","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Erigeron decumbens","Erigeron decumbens","Nutt.","7845106",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Potentilla gracilis","Potentilla gracilis Douglas ex Hook.","5365416","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas ex Hook.","5365416",
,"Hypochaeris radicata","Hypochaeris radicata L.","3093702","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hypochaeris radicata","L.","3093702",
,"Hypochaeris radicata","Hypochaeris radicata L.","3093702","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris radicata","Hypochaeris radicata","L.","3093702",
,"Leontodon  taraxacoides","Leontodon taraxacoides Lacaita, 1918","7975952","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon","Leontodon taraxacoides","Leontodon taraxacoides","Lacaita, 1918","7975952",
,"Leontodon  taraxacoides","Leontodon taraxacoides Lacaita, 1918","7975952","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon","Leontodon taraxacoides","Leontodon taraxacoides","Lacaita, 1918","7975952",
,"Leontodon  taraxacoides","Leontodon taraxacoides Lacaita, 1918","7975952","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon","Leontodon taraxacoides","Leontodon taraxacoides","Lacaita, 1918","7975952",
