Site,Date,State,County,PlantKingdom,PlantPhylum,PlantClass,PlantOrder,PlantFamily,PlantGenus,PlantGenusSpecies,Order,MiscGroup,Family,SubFamily,Tribe,Genus,Species,SubSpecies
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium dissectum,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,MS1,Andrena MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium,Lomatium dissectum,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,MS1,Andrena MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus occidentalis,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,MS2,Andrena MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Andrenidae,Andreninae,Andrenini,Andrena,MS2,Andrena MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Apinae,Bombini,Bombus,vosnesenskii,Bombus vosnesenskii
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,MS1,Nomada MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,MS2,Nomada MS2
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Hymenoptera,Anthophila,Apidae,Nomadinae,Nomadini,Nomada,,Nomada
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Bombyliidae,Bombyliinae,Bombyliini,Bombylius,major,Bombylius major
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Cerambycidae,Lepturinae,,,MS1,Lepturinae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Camassia,Camassia quamash,Coleoptera,,Cerambycidae,Lepturinae,,,MS1,Lepturinae MS1
Jefferson Farm,17-May-19,OR,Marion,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Plectritis,Plectritis congesta,Diptera,,Conopidae,Dalmanniinae,,Dalmannia,MS1,Dalmannia MS1
