"scientificName","status","rank","Kingdom","Phylum","Class","Order","Family","Genus","PlantGenusSpecies","State","County","Latitude","Longitude","Site","Date","time","temp","hum","wind","FlowerNum","patch_size","Year","doy","Occ","logFlowerNum"
"Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium dissectum","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:56",67,53,2,80,114,"2019",137,1,80
"Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Lomatium","Lomatium dissectum","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"17:56",67,53,2,80,114,"2019",137,1,80
"Ranunculus occidentalis Nutt.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:38",65,56,3,330,1100,"2019",137,1,330
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:15",67,53,2,89,159,"2019",137,1,89
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:35",70,46,3,33,54,"2019",137,1,33
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:35",70,46,3,33,54,"2019",137,1,33
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:35",70,46,3,33,54,"2019",137,1,33
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:15",67,53,2,89,159,"2019",137,1,89
"Castilleja levisecta Greenm.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja levisecta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"14:55",67,56,2,35,58,"2019",137,1,35
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:34",65,56,3,21,30,"2019",137,1,21
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:34",65,56,3,21,30,"2019",137,1,21
"Castilleja levisecta Greenm.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja levisecta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"15:45",70,46,3,40,62,"2019",137,1,40
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:34",65,56,3,21,30,"2019",137,1,21
"Plectritis congesta (Lindl.) DC.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Plectritis","Plectritis congesta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:33",65,56,3,350,1000,"2019",137,1,350
"Ranunculus occidentalis Nutt.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:38",65,56,3,330,1100,"2019",137,1,330
"Ranunculus occidentalis Nutt.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"13:38",65,56,3,330,1100,"2019",137,1,330
"Valerianella locusta (L.) Laterr.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valerianella","Valerianella locusta","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"14:50",70,45,2,2600,5200,"2019",137,1,2600
"Myosotis discolor Pers.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis discolor","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"14:55",68,52,1,25,44,"2019",137,1,25
"Ranunculus occidentalis Nutt.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus occidentalis","OR","Marion",44.7884,-123.0188,"Jefferson Farm",2019-05-17,"16:15",70,46,3,135,250,"2019",137,1,135
"Ranunculus alismifolius Geyer ex Benth.","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus alismifolius","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"12:51",74,43,1,113,300,"2019",113,1,113
"Camassia quamash (Pursh) Greene","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Camassia","Camassia quamash","OR","Lane",44.055547,-123.252071,"Fisher Butte",2019-04-23,"13:26",NA,NA,NA,69,200,"2019",113,1,69
